609.62,8416.31
245.00,282.50,1075.00,107.50,0
910.09,91.64,59.09,81.82,0
1205.55,109.82,63.64,184.09,0
700.82,939.36,3460.36,93.18,0
1042.09,-22.00,97.73,250.00,1
4319.00,-1166.00,6590.00,98.00,0
3352.00,-299.00,4256.00,210.00,0
609.00,-1409.00,3336.00,312.00,0
-863.00,-1349.00,1796.00,664.00,0
1357.00,1815.00,2144.00,1212.00,0
7895.00,2496.00,2800.00,2487.50,0
3895.00,5108.50,3225.00,462.50,0
2732.50,5058.50,2962.50,650.00,0
8495.00,4683.50,1262.50,2150.00,0
1220.00,8008.50,8925.00,925.00,0
8870.00,5971.00,1162.50,2787.50,0
220.00,5833.50,3637.50,1025.00,0
-55.00,8671.00,2687.50,575.00,0
3730.71,-210.57,3414.29,1492.86,0
2222.38,-23.23,938.46,600.00,1
4376.52,-759.29,198.67,233.33,0
5210.33,-640.57,111.90,138.10,0
5522.24,-742.95,154.76,135.71,0
5543.67,-428.67,264.29,150.00,0
6254.05,-681.05,485.86,180.95,0
3926.00,7105.00,1897.29,100.00,0
4344.57,6633.57,335.71,864.29,0
1443.00,8428.00,9266.67,1466.67,0
-269.33,-1722.33,1134.00,611.11,0
8098.00,-3243.00,4983.33,7042.00,0
-2715.67,1650.00,2850.00,7549.33,0
-299.00,5749.33,833.33,1050.00,0
-6631.67,-5892.67,5982.33,7877.33,0
-461.86,439.43,345.43,350.00,0
2004.43,-803.43,840.57,321.43,0
7473.00,5561.00,291.67,305.00,1
1473.00,7406.00,849.33,353.33,1
8383.33,7326.00,249.67,386.67,1
3126.00,2878.00,520.00,1013.33,0
3152.67,5524.67,240.00,346.67,0
3312.33,3711.33,140.00,993.33,0
2639.00,3978.00,1620.00,420.00,0
577.33,2923.33,494.67,699.00,0
538.67,1259.33,440.00,400.00,0
1066.33,4052.67,1033.33,953.33,1
-1110.45,-5319.00,9245.46,518.18,0
7624.09,-4347.55,2181.82,619.36,0
7211.64,-8015.27,4833.45,1259.73,0
10801.00,-7118.09,2474.64,4189.27,0
356.09,-8394.55,4262.82,1423.73,0
4646.45,-6700.91,1182.18,963.64,0
3241.27,-9110.00,794.27,4027.27,0
6053.82,-6700.91,748.00,436.36,0
6526.00,-8182.73,490.91,427.27,0
4007.82,-10373.64,9150.73,1745.46,0
2609.91,-9919.09,1996.18,1018.18,0
-4065.67,-10789.67,7414.00,5650.67,0
-301.67,-4574.67,2766.67,1700.00,1
2715.33,-2422.33,716.67,450.00,0
9763.00,-5605.67,483.33,1050.00,1
5366.67,-7372.33,1582.00,433.33,1
3830.33,-2387.00,272.22,1138.89,0
4363.67,-2564.78,172.22,1366.67,0
3663.67,-3848.11,361.11,1516.67,0
3741.44,-3731.44,2138.89,983.33,0
4435.89,-2453.67,1383.33,383.33,0
5685.89,-2270.33,227.78,516.67,0
6102.56,-3237.00,822.22,1888.89,0
5130.33,-4409.22,1772.22,1000.00,0
6669.22,-2981.44,1733.33,644.44,0
7119.22,-5109.22,200.00,1700.00,0
14521.00,2903.00,0.00,293.00,0
9528.00,2814.00,2952.00,6500.00,0
12481.00,-10467.00,5560.00,2320.00,0
15181.00,-8072.00,1920.00,3825.00,0
15601.00,-4547.00,3060.00,9781.00,0
16661.00,5081.00,4240.00,6153.00,0
17761.00,10908.00,6160.00,5406.00,0
19060.00,15994.00,3640.00,4440.00,0
8053.00,14454.00,3967.00,6500.00,0
13161.00,6190.00,1480.00,2563.00,0
16299.00,14140.00,813.00,2504.00,0
13109.00,17045.00,1471.00,2609.00,0
20548.00,20222.00,1570.00,3740.00,0
8401.00,21012.00,1885.00,3875.00,0
8523.00,20073.00,1623.00,1814.00,0
11288.00,22304.14,1305.29,785.71,2
5403.00,9415.00,3340.00,14782.00,0
9388.00,11159.00,675.00,2750.00,1
10938.00,10749.00,575.00,1760.00,0
5212.00,-1956.00,568.00,144.00,0
4876.00,-1736.00,768.00,160.00,0
4732.69,-1472.38,1769.23,576.92,0
6009.14,23787.00,17414.29,1300.00,0
4837.00,2536.00,0.00,0.00,0
5224.09,1249.00,336.36,2472.73,0
4451.36,2294.45,2718.18,600.00,0
6442.27,1821.73,263.64,1027.27,0
6178.64,1921.73,2090.91,90.91,0
6160.45,1830.82,2363.64,227.27,0
6301.33,6529.00,47.00,10.00,0
5318.67,6321.67,2480.00,1240.00,0
7127.19,-6436.33,1628.57,790.48,0
8782.00,-5317.50,300.00,575.00,1
14044.50,-2642.50,962.50,950.00,1
-479.44,-1621.56,100.00,133.33,0
39097.00,61327.00,107.00,232.00,0
